coordinate	binary_sha256	source_sha256	source_url
org.yaml:snakeyaml:2.5	e6682acf1ace77508ef13649cbf4f8d09d2cf5457bdb61d25ffb6ac0233d78dd	7a7d307ca9fe1663219a60045a8e5a113a69331566f9ebbe1d3b12c6781909ac	https://repo.maven.apache.org/maven2/org/yaml/snakeyaml/2.5/snakeyaml-2.5-sources.jar
org.apache.commons:commons-text:1.15.0	58d2da30f058512a1e7f914e39241deca4dff5c27a085b4ed2faa9e7208067f6	6fa2f1db12dc4147094be928a5b54d567cea287df54e4c76b7dfb6096c05439d	https://repo.maven.apache.org/maven2/org/apache/commons/commons-text/1.15.0/commons-text-1.15.0-sources.jar
org.apache.commons:commons-lang3:3.20.0	69e5c9fa35da7a51a5fd2099dfe56a2d8d32cf233e2f6d770e796146440263f4	eec245e820ec2800a1780cf756aefb427c1c6170e06902e67ac15b6910ce6335	https://repo.maven.apache.org/maven2/org/apache/commons/commons-lang3/3.20.0/commons-lang3-3.20.0-sources.jar
io.dropwizard:dropwizard-logging:5.0.2	11b7cdd2a9501832c1b2e608430371eb4f940667ddb40a703f93d000dd537e6f	360a157aac5c03da157b7ba6accd2e18a6b7cb96bcbdc6610f93e026f4fb3ac6	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-logging/5.0.2/dropwizard-logging-5.0.2-sources.jar
io.dropwizard.metrics:metrics-logback:4.2.39	5ee1e1ddb3ad4594c220e057b133afd5cf7f1d5eca5872c191ebfdb2aa6eb7c9	e7dda0337f377d1a1829ba9eaf9ed033c0e13ea7d916aa109fc63c8878594c7b	https://repo.maven.apache.org/maven2/io/dropwizard/metrics/metrics-logback/4.2.39/metrics-logback-4.2.39-sources.jar
org.slf4j:jul-to-slf4j:2.0.18	cbb7d1aaaa9e871eb1a06594abd911bf97027152976edf1edc315be75239204e	b6dd2138f3e83d876bf07206d09f2b48ca655bc36a8e80b0c2a32ad19ab8f1d5	https://repo.maven.apache.org/maven2/org/slf4j/jul-to-slf4j/2.0.18/jul-to-slf4j-2.0.18-sources.jar
ch.qos.logback:logback-core:1.5.33	48b106f3abf3498eff7e59406a15226f351cf9c625017652e63c346a07011d81	590f300c23c950844e93932f1fdf2b986d1c581d02ee59a3e1e7442965b55301	https://repo.maven.apache.org/maven2/ch/qos/logback/logback-core/1.5.33/logback-core-1.5.33-sources.jar
com.google.errorprone:error_prone_annotations:2.42.0	f282a6488838986b8033bd51888928cff6a59c1050426476553ed2622b89e510	031b8e855071e2272ea4aaa84389da95d6e1658a2fff174fa472a50263273fb4	https://repo.maven.apache.org/maven2/com/google/errorprone/error_prone_annotations/2.42.0/error_prone_annotations-2.42.0-sources.jar
io.dropwizard.logback:logback-throttling-appender:1.5.3	a4bdd02407a517bdc596484a8a7a49ff0f7d3dc64353bced16287664a56326cc	15219cc77a67eb5ec87d972f35f5f6db99e42a9d064a92417f578e82c461cbf5	https://repo.maven.apache.org/maven2/io/dropwizard/logback/logback-throttling-appender/1.5.3/logback-throttling-appender-1.5.3-sources.jar
org.slf4j:log4j-over-slf4j:2.0.18	d030643b4b3371ac79ce9a5bf2e4f82b65ee5621e2c0c6bbfb254d74c9a90df6	e19e4db770231fdfc4d65e864d92002af72aec86967155f3d01aec6b38bdd557	https://repo.maven.apache.org/maven2/org/slf4j/log4j-over-slf4j/2.0.18/log4j-over-slf4j-2.0.18-sources.jar
org.slf4j:jcl-over-slf4j:2.0.18	ec5c36d57d2dbe100f84878f944575cb7871da32c7a115b8d7e0721277045d67	d0a96716020e44f95f1d94c4d2deeda009056847a125453010d4258db6b53776	https://repo.maven.apache.org/maven2/org/slf4j/jcl-over-slf4j/2.0.18/jcl-over-slf4j-2.0.18-sources.jar
io.dropwizard:dropwizard-metrics:5.0.2	2fa891abaa7d46f2d1875fbf4705502281c3d1f38bb28703a288fdb58d8bd8f6	bd3e192a4825cb65f6f4f129dab24b543cbaf983c243b5650c93a4d6bc76f37a	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-metrics/5.0.2/dropwizard-metrics-5.0.2-sources.jar
io.dropwizard:dropwizard-jersey:5.0.2	bbd884d3be157c00933f88e013f46eed784e136d4253feaca3c83019aa12074b	a19c99053a05a9c79e59630ef41b8e0eb1ff37ef466b24ea9ad36052be1297ab	https://repo.maven.apache.org/maven2/io/dropwizard/dropwizard-jersey/5.0.2/dropwizard-jersey-5.0.2-sources.jar
org.glassfish.jersey.ext:jersey-metainf-services:3.1.11	b16bbfd0f8fb0df5116da263f418f9ee70074b3e9626c56e95051c9a0bf51b41	5bd460be5a6866d71a7adf834da2660e19edd2ac46e7134ce90e1ea60d0d214f	https://repo.maven.apache.org/maven2/org/glassfish/jersey/ext/jersey-metainf-services/3.1.11/jersey-metainf-services-3.1.11-sources.jar
org.glassfish.jersey.inject:jersey-hk2:3.1.11	faeee985d70b8223a9eb22baabf579d9f860141716efcaf74b0a252a63959fc3	47862bb6cd64a5d74a7f06dacebfec9b3a6feecf67579418595da12ca05c288c	https://repo.maven.apache.org/maven2/org/glassfish/jersey/inject/jersey-hk2/3.1.11/jersey-hk2-3.1.11-sources.jar
